"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:00","5:00","0.30","16:48","--","92","105","--","--","--","--","--","--","120","--","--","0.80","--","--","18","--","15:53","128","5:00","16:47"
"2","13:24","18:24","1.00","13:24","--","140","152","1","--","--","--","--","--","167","--","--","0.72","--","--","123","--","11:50","169","13:24","13:24"
"3","1:36.0","20:00","0.11","14:00","--","145","149","--","--","--","--","--","--","166","--","--","0.69","--","--","15","--","13:45","168","1:36.0","14:00"
"4","2:47.2","22:47","0.25","11:13","--","160","168","--","--","--","--","--","--","171","--","--","0.84","--","--","29","--","11:06","175","2:47","11:12"
"5","3:00","25:47","0.17","17:10","--","132","168","--","--","--","--","--","--","124","--","--","0.76","--","--","19","--","11:11","171","3:00","17:10"
"6","2:46.0","28:33","0.25","11:08","--","152","163","3","--","--","--","--","--","172","--","--","0.84","--","--","26","--","10:27","177","2:46","11:08"
"7","3:00","31:33","0.18","16:41","--","129","163","--","--","--","--","--","--","125","--","--","0.77","--","--","17","--","11:09","175","3:00","16:41"
"8","2:41.0","34:14","0.25","10:48","--","155","168","--","--","--","--","--","--","172","--","--","0.86","--","--","25","--","10:01","177","2:41","10:48"
"9","3:00","37:14","0.18","17:04","--","134","167","--","--","--","--","--","--","124","--","--","0.76","--","--","18","--","10:41","172","3:00","17:05"
"10","2:43.8","39:58","0.25","10:59","--","155","168","--","--","--","--","--","--","174","--","--","0.84","--","--","25","--","10:53","181","2:43.8","10:59"
"11","3:00","42:58","0.17","17:33","--","134","169","--","3","--","--","--","--","124","--","--","0.74","--","--","18","--","10:51","179","3:00","17:33"
"12","10:00","52:58","0.72","13:58","--","154","162","--","--","--","--","--","--","166","--","--","0.69","--","--","97","--","13:00","171","10:00","13:58"
"13","5:00","57:58","0.25","19:42","--","125","163","--","--","--","--","--","--","115","--","--","0.71","--","--","17","--","14:06","168","5:00","19:43"
"14","0:04.3","58:02","0.00","18:15","--","116","116","--","--","--","--","--","--","116","--","--","0.76","--","--","0","--","19:25","116","0:04","16:47"
"Summary","58:02","58:02","4.08","14:13","","138","169","3","3","","","","","150","","","0.75","","","447","","10:01","181","58:02","14:13"
